City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,illizi,26.4833,8.4667,33.89,12,1,4.72,DZ,1690325458
146,puerto deseado,-47.7503,-65.8938,1.57,96,100,12.27,AR,1690325458
147,kirakira,-10.4544,161.9205,27.15,85,85,4.81,SB,1690325458
148,verdal,63.7933,11.4817,14.02,83,100,1.74,NO,1690325458
149,waddan,29.1614,16.139,33.12,15,0,4.87,LY,1690325459
150,jamestown,42.097,-79.2353,25.25,75,20,1.54,US,1690325459
151,isafjordur,66.0755,-23.124,7.23,81,96,3.51,IS,1690325459
152,borogontsy,62.6683,131.1683,17.32,56,49,2.44,RU,1690325460
153,tofol,5.3248,163.0078,30.88,70,75,1.54,FM,1690325460
154,nagqu,31.5,92.0,5.58,94,100,1.47,CN,1690325190
155,kayes,14.0,-11.0,24.76,91,100,5.64,ML,1690325460
156,scarborough,54.2797,-0.4044,12.66,90,99,1.79,GB,1690325430
157,udachny,66.4167,112.4,16.36,76,100,3.17,RU,1690325461
158,dudinka,69.4058,86.1778,15.9,61,0,5.15,RU,1690325461
159,iskateley,67.6803,53.1512,13.6,87,19,2.8,RU,1690325349
160,ladario,-19.0047,-57.6017,27.05,33,3,0.54,BR,1690325461
161,haiku-pauwela,20.9219,-156.3051,29.54,65,20,12.35,US,1690325462
162,sitka,57.0531,-135.33,16.94,72,100,3.6,US,1690325462
163,askoy,60.4092,5.226,13.16,50,75,1.03,NO,1690325462
164,narasannapeta,18.4167,84.05,27.23,86,100,4.14,IN,1690325462
165,cao bang,22.6667,106.25,24.12,96,91,0.85,VN,1690325463
166,arvayheer,46.2639,102.775,12.47,66,100,3.0,MN,1690325463
167,olyokminsk,60.3736,120.4264,21.29,69,8,1.54,RU,1690325463
168,sultanah,24.4926,39.5857,36.25,9,0,2.06,SA,1690325464
169,tomatlan,19.9333,-105.25,30.74,62,95,2.69,MX,1690325464
170,mugia,43.1041,-9.2179,17.17,82,87,4.43,ES,1690325464
171,georgetown,5.4112,100.3354,26.96,92,20,1.03,MY,1690325207
172,kolonia,50.9333,6.95,14.34,79,0,1.54,DE,1690325465
173,swan hill,-35.3378,143.5544,8.67,79,0,0.8,AU,1690325465
174,shatsk,54.0258,41.7119,17.64,89,100,2.66,RU,1690325465
175,saint-philippe,-21.3585,55.7679,19.77,77,42,1.88,RE,1690325321
176,namibe,-15.1961,12.1522,16.09,85,91,4.31,AO,1690325466
177,karor,31.2274,70.9492,31.36,61,27,1.65,PK,1690325466
178,limoux,42.9167,2.1667,15.84,61,95,4.4,FR,1690325466
179,lautoka,-17.6167,177.4667,22.92,83,75,1.54,FJ,1690325466
180,usogorsk,63.4106,48.6872,12.03,97,94,1.08,RU,1690325467
181,rome,34.257,-85.1647,34.61,56,0,4.63,US,1690325419
182,harstad,68.799,16.5293,16.0,91,86,2.24,NO,1690325467
183,piedmont,37.8244,-122.2316,36.16,64,20,6.17,US,1690325468
184,port alfred,-33.5906,26.891,15.19,53,100,3.45,ZA,1690325468
185,irshava,48.3167,23.0385,17.84,90,35,1.53,UA,1690325468
186,west island,-12.1568,96.8225,24.99,69,100,9.77,CC,1690325469
187,nova sintra,14.8667,-24.7167,22.37,85,40,4.32,CV,1690325469
188,margaret river,-33.95,115.0667,11.78,80,100,8.64,AU,1690325469
189,keelung,25.1283,121.7419,29.49,90,99,10.7,TW,1690325469
190,uturoa,-16.7333,-151.4333,26.81,80,8,5.96,PF,1690325471
191,chibougamau,49.9168,-74.3659,22.79,43,40,3.39,CA,1690325196
192,vila velha,-20.3297,-40.2925,20.97,97,100,2.57,BR,1690325197
193,newman,37.3138,-121.0208,36.13,8,1,1.38,US,1690325308
194,urzhar,47.093,81.6294,22.43,38,49,3.74,KZ,1690325472
195,la passe,45.5549,-0.8967,17.21,75,87,4.2,FR,1690325205
196,noumea,-22.2763,166.4572,21.67,99,92,7.26,NC,1690325437
197,inhambane,-23.865,35.3833,17.06,72,5,2.36,MZ,1690325473
198,moyynkum,44.2914,72.9469,25.92,22,0,4.82,KZ,1690325473
199,guankou,28.15,113.6333,24.89,90,100,1.29,CN,1690325473
200,shihezi,44.3,86.0333,27.09,26,13,2.45,CN,1690325474
201,santa terezinha,-29.9002,-50.0904,17.18,96,95,1.0,BR,1690325347
202,mlangali,-9.7833,34.5167,10.83,70,7,2.14,TZ,1690325474
203,rosetta,31.4044,30.4164,27.33,83,0,4.75,EG,1690325475
204,marabba,12.35,32.1833,28.47,60,100,2.27,SD,1690325475
205,whitehorse,60.7161,-135.0538,21.68,52,75,2.06,CA,1690325475
206,boma,7.0805,-2.1697,22.39,99,64,1.05,GH,1690325476
207,sumbawa besar,-8.5,117.4333,21.35,89,7,2.29,ID,1690325476
208,mata-utu,-13.2816,-176.1745,26.67,76,100,6.72,WF,1690325261
209,mapimi,25.8167,-103.85,32.26,24,89,3.46,MX,1690325481
210,san patricio,28.017,-97.5169,36.4,42,11,7.54,US,1690325482
211,gamba,-2.65,10.0,20.99,94,7,1.85,GA,1690325345
212,lata,40.1629,-8.3327,12.69,95,0,0.78,PT,1690325482
213,celestun,20.8667,-90.4,29.73,72,51,8.77,MX,1690325483
214,ulanhot,46.0833,122.0833,23.44,72,58,2.26,CN,1690325483
215,algona,43.07,-94.233,30.07,79,20,4.63,US,1690325483
216,mozarlandia,-14.7447,-50.5706,27.51,30,65,0.44,BR,1690325483
217,cabo,-8.2833,-35.0333,24.96,88,69,2.55,BR,1690325484
218,puerto armuelles,8.2833,-82.8667,28.99,70,99,1.34,PA,1690325331
219,san antonio de pale,-1.4014,5.6325,22.71,88,40,4.8,GQ,1690325484
220,preobrazheniye,42.9019,133.9064,23.9,75,45,3.63,RU,1690325484
221,langres,47.8333,5.3333,11.22,86,65,1.62,FR,1690325485
222,worland,44.0169,-107.9554,36.49,19,0,2.57,US,1690325485
223,tazovsky,67.4667,78.7,12.28,77,32,4.32,RU,1690325281
224,flying fish cove,-10.4217,105.6791,23.82,94,100,3.6,CX,1690325485
225,ulsteinvik,62.3432,5.8487,16.53,91,99,3.13,NO,1690325445
226,akrehamn,59.2667,5.1833,13.14,88,100,13.89,NO,1690325360
227,san borja,-14.8167,-66.85,24.18,65,23,0.66,BO,1690325486
228,baiti,13.745,-14.7482,27.33,80,100,3.24,SN,1690325487
229,san jose acatempa,14.2653,-90.1269,23.02,70,93,2.19,GT,1690325487
230,tarawa,1.419,172.984,26.05,94,100,1.03,KI,1690325487
231,palangkaraya,-2.2,113.8333,22.44,93,99,0.77,ID,1690325488
232,kiunga,-6.1219,141.2906,23.4,84,72,2.11,PG,1690325469
233,praia da vitoria,38.7333,-27.0667,22.14,88,40,4.33,PT,1690325488
234,belmonte,-15.8631,-38.8828,22.21,89,66,3.31,BR,1690325489
235,laojunmiao,39.8333,97.7333,21.04,25,83,1.63,CN,1690325489
236,jiazi,22.8779,116.067,28.07,79,94,2.24,CN,1690325489
237,pizarro,4.9533,-77.366,26.2,87,100,3.75,CO,1690325490
238,kailua-kona,19.6406,-155.9956,29.17,82,40,4.12,US,1690325490
239,crane,31.3974,-102.3501,36.81,18,34,7.38,US,1690325490
